year,order,name,conditions,surface,fin_commit,winner,winner_slug,currency,amount
2003,64,St. Petersburg,Indoor,Hard,"$1,000,000",Gustavo Kuerten,gustavo-kuerten,$,1000000.0
2003,65,Stockholm,Indoor,Hard,"$650,000",Mardy Fish,mardy-fish,$,650000.0
2003,66,ATP World Tour Masters 1000 Paris,Indoor,Hard,"$2,240,000",Tim Henman,tim-henman,$,2240000.0
2003,67,Tennis Masters Cup,Outdoor,Hard,"$3,700,000",Roger Federer,roger-federer,$,3700000.0
2004,0,Adelaide,Outdoor,Hard,"$380,000",Dominik Hrbaty,dominik-hrbaty,$,380000.0
2004,1,Chennai,Outdoor,Hard,"$380,000",Carlos Moya,carlos-moya,$,380000.0
2004,2,Doha,Outdoor,Hard,"$1,000,000",Nicolas Escude,nicolas-escude,$,1000000.0
2004,3,Auckland,Outdoor,Hard,"$404,000",Dominik Hrbaty,dominik-hrbaty,$,404000.0
2004,4,Sydney,Outdoor,Hard,"$380,000",Lleyton Hewitt,lleyton-hewitt,$,380000.0
2004,5,Australian Open,Outdoor,Hard,"$6,736,438",Roger Federer,roger-federer,$,6736438.0
2004,6,Milan,Indoor,Carpet,"$380,000",Antony Dupuis,antony-dupuis,$,380000.0
2004,7,San Jose,Indoor,Hard,"$380,000",Andy Roddick,andy-roddick,$,380000.0
2004,8,Viña del Mar,Outdoor,Clay,"$333,000",Fernando Gonzalez,fernando-gonzalez,$,333000.0
2004,9,Buenos Aires,Outdoor,Clay,"$380,000",Guillermo Coria,guillermo-coria,$,380000.0
2004,10,Memphis,Indoor,Hard,"$690,000",Joachim Johansson,joachim-johansson,$,690000.0
2004,11,Rotterdam,Indoor,Hard,"$875,505",Lleyton Hewitt,lleyton-hewitt,$,875505.0
2004,12,Marseille,Indoor,Hard,"$600,000",Dominik Hrbaty,dominik-hrbaty,$,600000.0
2004,13,Sao Paulo,Outdoor,Clay,"$380,000",Gustavo Kuerten,gustavo-kuerten,$,380000.0
2004,14,Acapulco,Outdoor,Clay,"$652,000",Carlos Moya,carlos-moya,$,652000.0
2004,15,Dubai,Outdoor,Hard,"$1,000,000",Roger Federer,roger-federer,$,1000000.0
2004,16,Scottsdale,Outdoor,Hard,"$380,000",Vincent Spadea,vincent-spadea,$,380000.0
2004,17,ATP Masters Series Indian Wells,Outdoor,Hard,"$2,779,000",Roger Federer,roger-federer,$,2779000.0
2004,18,ATP Masters Series Miami,Outdoor,Hard,"$3,450,000",Andy Roddick,andy-roddick,$,3450000.0
2004,19,Estoril,Outdoor,Clay,"$525,000",Juan Ignacio Chela,juan-ignacio-chela,$,525000.0
2004,20,Houston,Outdoor,Clay,"$380,000",Tommy Haas,tommy-haas,$,380000.0
2004,21,Valencia,Outdoor,Clay,"$400,000",Fernando Verdasco,fernando-verdasco,$,400000.0
2004,22,ATP Masters Series Monte Carlo,Outdoor,Clay,"$2,450,000",Guillermo Coria,guillermo-coria,$,2450000.0
2004,23,Barcelona,Outdoor,Clay,"$1,000,000",Tommy Robredo,tommy-robredo,$,1000000.0
2004,24,Munich,Outdoor,Clay,"$380,000",Nikolay Davydenko,nikolay-davydenko,$,380000.0
2004,25,ATP Masters Series Rome,Outdoor,Clay,"$2,450,000",Carlos Moya,carlos-moya,$,2450000.0
2004,26,ATP Masters Series Hamburg,Outdoor,Clay,"$2,450,000",Roger Federer,roger-federer,$,2450000.0
2004,27,Casablanca,Outdoor,Clay,"$380,000",Santiago Ventura,santiago-ventura,$,380000.0
2004,28,World Team Championship,Outdoor,Clay,"$1,850,000",Nicolas Massu,nicolas-massu,$,1850000.0
2004,29,St. Poelten,Outdoor,Clay,"$380,000",Filippo Volandri,filippo-volandri,$,380000.0
2004,30,Roland Garros,Outdoor,Clay,"$7,462,318",Gaston Gaudio,gaston-gaudio,$,7462318.0
2004,31,Halle,Outdoor,Grass,"$791,750",Roger Federer,roger-federer,$,791750.0
2004,32,London / Queen's Club,Outdoor,Grass,"$791,750",Andy Roddick,andy-roddick,$,791750.0
2004,33,Nottingham,Outdoor,Grass,"$380,000",Paradorn Srichaphan,paradorn-srichaphan,$,380000.0
2004,34,'s-Hertogenbosch,Outdoor,Grass,"$380,000",Michael Llodra,michael-llodra,$,380000.0
2004,35,Wimbledon,Outdoor,Grass,"$8,328,704",Roger Federer,roger-federer,$,8328704.0
2004,36,Bastad,Outdoor,Clay,"$380,000",Mariano Zabaleta,mariano-zabaleta,$,380000.0
2004,37,Gstaad,Outdoor,Clay,"$544,750",Roger Federer,roger-federer,$,544750.0
2004,38,Newport,Outdoor,Grass,"$380,000",Greg Rusedski,greg-rusedski,$,380000.0
2004,39,Amersfoort,Outdoor,Clay,"$380,000",Martin Verkerk,martin-verkerk,$,380000.0
2004,40,Los Angeles,Outdoor,Hard,"$380,000",Tommy Haas,tommy-haas,$,380000.0
2004,41,Stuttgart,Outdoor,Clay,"$614,750",Guillermo Canas,guillermo-canas,$,614750.0
2004,42,Indianapolis,Outdoor,Hard,"$600,000",Andy Roddick,andy-roddick,$,600000.0
2004,43,Kitzbuhel,Outdoor,Clay,"$800,000",Nicolas Massu,nicolas-massu,$,800000.0
2004,44,Umag,Outdoor,Clay,"$395,750",Guillermo Canas,guillermo-canas,$,395750.0
2004,45,ATP Masters Series Canada,Outdoor,Hard,"$2,564,000",Roger Federer,roger-federer,$,2564000.0
2004,46,ATP Masters Series Cincinnati,Outdoor,Hard,"$2,450,000",Andre Agassi,andre-agassi,$,2450000.0
2004,47,Sopot,Outdoor,Clay,"$500,000",Rafael Nadal,rafael-nadal,$,500000.0
2004,49,Washington,Outdoor,Hard,"$500,000",Lleyton Hewitt,lleyton-hewitt,$,500000.0
2004,50,Long Island,Outdoor,Hard,"$380,000",Lleyton Hewitt,lleyton-hewitt,$,380000.0
2004,51,US Open,Outdoor,Hard,"$7,696,000",Roger Federer,roger-federer,$,7696000.0
2004,52,Beijing,Outdoor,Hard,"$500,000",Marat Safin,marat-safin,$,500000.0
2004,53,Bucharest,Outdoor,Clay,"$380,000",Jose Acasuso,jose-acasuso,$,380000.0
2004,54,Delray Beach,Outdoor,Hard,"$380,000",Ricardo Mello,ricardo-mello,$,380000.0
2004,55,Bangkok,Indoor,Hard,"$550,000",Roger Federer,roger-federer,$,550000.0
2004,56,Palermo,Outdoor,Clay,"$380,000",Tomas Berdych,tomas-berdych,$,380000.0
2004,57,Shanghai,Outdoor,Hard,"$380,000",Guillermo Canas,guillermo-canas,$,380000.0
2004,58,Lyon,Indoor,Carpet,"$791,750",Robin Soderling,robin-soderling,$,791750.0
2004,59,Tokyo,Outdoor,Hard,"$775,000",Jiri Novak,jiri-novak,$,775000.0
